State,Type of Communication,Vendor Name,Election Type,Cohort,Total Phone Numbers,Total Success
Assam,OBD,Go2market,Loksabha,Awas,1338231,814656
Assam,OBD,Go2market,Loksabha,Generic,1485233,832684
Assam,OBD,Go2market,Loksabha,Kisan,905062,581533
Assam,OBD,Go2market,Loksabha,Old Age,322800,177883
Assam,OBD,Go2market,Loksabha,Old PM,577416,301841
Assam,OBD,Go2market,Loksabha,Poor,7243144,4462610
Assam,OBD,Go2market,Loksabha,Primary Member,286722,180352
Assam,OBD,Go2market,Loksabha,Redi Patri,4107,2525
Assam,OBD,Go2market,Loksabha,Sangathan,732586,462088
Assam,OBD,Go2market,Loksabha,Scooter,46294,28440
